CWE-ID,Name,Messages
15,External Control of System or Configuration Setting,
20,Improper Input Validation,
22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),
23,Relative Path Traversal,
36,Absolute Path Traversal,
41,Improper Resolution of Path Equivalence,
59,Improper Link Resolution Before File Access ('Link Following'),
66,Improper Handling of File Names that Identify Virtual Resources,
73,External Control of File Name or Path,
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),
75,Failure to Sanitize Special Elements into a Different Plane (Special Element Injection),
76,Improper Neutralization of Equivalent Special Elements,
77,Improper Neutralization of Special Elements used in a Command ('Command Injection'),
78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),
79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),
89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),
90,Improper Neutralization of Special Elements used in an LDAP Query ('LDAP Injection'),
91,XML Injection (aka Blind XPath Injection),
93,Improper Neutralization of CRLF Sequences ('CRLF Injection'),
94,Improper Control of Generation of Code ('Code Injection'),
96,Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection'),
99,Improper Control of Resource Identifiers ('Resource Injection'),
112,Missing XML Validation,
114,Process Control,
115,Misinterpretation of Input,
116,Improper Encoding or Escaping of Output,
117,Improper Output Neutralization for Logs,
118,Incorrect Access of Indexable Resource ('Range Error'),
119,Improper Restriction of Operations within the Bounds of a Memory Buffer,
120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),
123,Write-what-where Condition,
124,Buffer Underwrite ('Buffer Underflow'),
125,Out-of-bounds Read,
128,Wrap-around Error,
130,Improper Handling of Length Parameter Inconsistency,
131,Incorrect Calculation of Buffer Size,
134,Use of Externally-Controlled Format String,
135,Incorrect Calculation of Multi-Byte String Length,
138,Improper Neutralization of Special Elements,
140,Improper Neutralization of Delimiters,
159,Improper Handling of Invalid Use of Special Elements,
166,Improper Handling of Missing Special Element,
167,Improper Handling of Additional Special Element,
168,Improper Handling of Inconsistent Special Elements,
170,Improper Null Termination,
172,Encoding Error,
178,Improper Handling of Case Sensitivity,
179,Incorrect Behavior Order: Early Validation,
182,Collapse of Data into Unsafe Value,
183,Permissive List of Allowed Inputs,
184,Incomplete List of Disallowed Inputs,
185,Incorrect Regular Expression,
186,Overly Restrictive Regular Expression,
188,Reliance on Data/Memory Layout,
190,Integer Overflow or Wraparound,
191,Integer Underflow (Wrap or Wraparound),
193,Off-by-one Error,
197,Numeric Truncation Error,
200,Exposure of Sensitive Information to an Unauthorized Actor,
201,Insertion of Sensitive Information Into Sent Data,
202,Exposure of Sensitive Information Through Data Queries,
203,Observable Discrepancy,
204,Observable Response Discrepancy,
205,Observable Behavioral Discrepancy,
208,Observable Timing Discrepancy,
209,Generation of Error Message Containing Sensitive Information,
210,Self-generated Error Message Containing Sensitive Information,
211,Externally-Generated Error Message Containing Sensitive Information,
212,Improper Removal of Sensitive Information Before Storage or Transfer,
213,Exposure of Sensitive Information Due to Incompatible Policies,
214,Invocation of Process Using Visible Sensitive Information,
215,Insertion of Sensitive Information Into Debugging Code,
221,Information Loss or Omission,
222,Truncation of Security-relevant Information,
223,Omission of Security-relevant Information,
224,Obscured Security-relevant Information by Alternate Name,
226,Sensitive Information in Resource Not Removed Before Reuse,
228,Improper Handling of Syntactically Invalid Structure,
229,Improper Handling of Values,
233,Improper Handling of Parameters,
237,Improper Handling of Structural Elements,
240,Improper Handling of Inconsistent Structural Elements,
241,Improper Handling of Unexpected Data Type,
242,Use of Inherently Dangerous Function,
248,Uncaught Exception,
250,Execution with Unnecessary Privileges,
252,Unchecked Return Value,
253,Incorrect Check of Function Return Value,
256,Plaintext Storage of a Password,
257,Storing Passwords in a Recoverable Format,
260,Password in Configuration File,
261,Weak Encoding for Password,
262,Not Using Password Aging,
263,Password Aging with Long Expiration,
266,Incorrect Privilege Assignment,
267,Privilege Defined With Unsafe Actions,
268,Privilege Chaining,
269,Improper Privilege Management,
270,Privilege Context Switching Error,
271,Privilege Dropping / Lowering Errors,
272,Least Privilege Violation,
273,Improper Check for Dropped Privileges,
274,Improper Handling of Insufficient Privileges,
276,Incorrect Default Permissions,
280,Improper Handling of Insufficient Permissions or Privileges ,
281,Improper Preservation of Permissions,
282,Improper Ownership Management,
283,Unverified Ownership,
285,Improper Authorization,
286,Incorrect User Management,
287,Improper Authentication,
288,Authentication Bypass Using an Alternate Path or Channel,
289,Authentication Bypass by Alternate Name,
290,Authentication Bypass by Spoofing,
294,Authentication Bypass by Capture-replay,
295,Improper Certificate Validation,
296,Improper Following of a Certificate's Chain of Trust,
299,Improper Check for Certificate Revocation,
300,Channel Accessible by Non-Endpoint,
301,Reflection Attack in an Authentication Protocol,
302,Authentication Bypass by Assumed-Immutable Data,
303,Incorrect Implementation of Authentication Algorithm,
304,Missing Critical Step in Authentication,
305,Authentication Bypass by Primary Weakness,
306,Missing Authentication for Critical Function,
307,Improper Restriction of Excessive Authentication Attempts,
308,Use of Single-factor Authentication,
309,Use of Password System for Primary Authentication,
311,Missing Encryption of Sensitive Data,
312,Cleartext Storage of Sensitive Information,
319,Cleartext Transmission of Sensitive Information,
322,Key Exchange without Entity Authentication,
323,Reusing a Nonce, Key Pair in Encryption,
324,Use of a Key Past its Expiration Date,
325,Missing Cryptographic Step,
326,Inadequate Encryption Strength,
327,Use of a Broken or Risky Cryptographic Algorithm,
328,Use of Weak Hash,
330,Use of Insufficiently Random Values,
331,Insufficient Entropy,
334,Small Space of Random Values,
335,Incorrect Usage of Seeds in Pseudo-Random Number Generator (PRNG),
338,Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG),
340,Generation of Predictable Numbers or Identifiers,
341,Predictable from Observable State,
342,Predictable Exact Value from Previous Values,
343,Predictable Value Range from Previous Values,
344,Use of Invariant Value in Dynamically Changing Context,
345,Insufficient Verification of Data Authenticity,
346,Origin Validation Error,
347,Improper Verification of Cryptographic Signature,
348,Use of Less Trusted Source,
349,Acceptance of Extraneous Untrusted Data With Trusted Data,
351,Insufficient Type Distinction,
353,Missing Support for Integrity Check,
354,Improper Validation of Integrity Check Value,
356,Product UI does not Warn User of Unsafe Actions,
357,Insufficient UI Warning of Dangerous Operations,
358,Improperly Implemented Security Check for Standard,
359,Exposure of Private Personal Information to an Unauthorized Actor,
360,Trust of System Event Data,
362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),
363,Race Condition Enabling Link Following,
364,Signal Handler Race Condition,
366,Race Condition within a Thread,
367,Time-of-check Time-of-use (TOCTOU) Race Condition,
368,Context Switching Race Condition,
369,Divide By Zero,
372,Incomplete Internal State Distinction,
374,Passing Mutable Objects to an Untrusted Method,
375,Returning a Mutable Object to an Untrusted Caller,
377,Insecure Temporary File,
378,Creation of Temporary File With Insecure Permissions,
379,Creation of Temporary File in Directory with Insecure Permissions,
385,Covert Timing Channel,
386,Symbolic Name not Mapping to Correct Object,
390,Detection of Error Condition Without Action,
391,Unchecked Error Condition,
392,Missing Report of Error Condition,
393,Return of Wrong Status Code,
394,Unexpected Status Code or Return Value,
395,Use of NullPointerException Catch to Detect NULL Pointer Dereference,
396,Declaration of Catch for Generic Exception,
397,Declaration of Throws for Generic Exception,
400,Uncontrolled Resource Consumption,
402,Transmission of Private Resources into a New Sphere ('Resource Leak'),
403,Exposure of File Descriptor to Unintended Control Sphere ('File Descriptor Leak'),
404,Improper Resource Shutdown or Release,
405,Asymmetric Resource Consumption (Amplification),
406,Insufficient Control of Network Message Volume (Network Amplification),
407,Inefficient Algorithmic Complexity,
408,Incorrect Behavior Order: Early Amplification,
409,Improper Handling of Highly Compressed Data (Data Amplification),
410,Insufficient Resource Pool,
412,Unrestricted Externally Accessible Lock,
413,Improper Resource Locking,
414,Missing Lock Check,
419,Unprotected Primary Channel,
420,Unprotected Alternate Channel,
421,Race Condition During Access to Alternate Channel,
424,Improper Protection of Alternate Path,
425,Direct Request ('Forced Browsing'),
426,Untrusted Search Path,
427,Uncontrolled Search Path Element,
428,Unquoted Search Path or Element,
430,Deployment of Wrong Handler,
431,Missing Handler,
432,Dangerous Signal Handler not Disabled During Sensitive Operations,
434,Unrestricted Upload of File with Dangerous Type,
436,Interpretation Conflict,
437,Incomplete Model of Endpoint Features,
439,Behavioral Change in New Version or Environment,
440,Expected Behavior Violation,
441,Unintended Proxy or Intermediary ('Confused Deputy'),
444,Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling'),
446,UI Discrepancy for Security Feature,
447,Unimplemented or Unsupported Feature in UI,
448,Obsolete Feature in UI,
449,The UI Performs the Wrong Action,
450,Multiple Interpretations of UI Input,
451,User Interface (UI) Misrepresentation of Critical Information,
454,External Initialization of Trusted Variables or Data Stores,
455,Non-exit on Failed Initialization,
459,Incomplete Cleanup,
460,Improper Cleanup on Thrown Exception,
463,Deletion of Data Structure Sentinel,
464,Addition of Data Structure Sentinel,
466,Return of Pointer Value Outside of Expected Range,
